id,varietal_3
2,Arabica
111,Arara
81,Arusha
91,Ateng
113,Batian
4,Blue Mountain
1,Bourbon
96,Bourbon Gayo
84,Brasil Bourbon
5,Castillo
95,Catimor
87,Catimor 129
109,Catuai
10,Caturra
11,Centroamericano
12,Colombia
13,Colombia F8
89,Criollo
117,Crowned Garuda
69,Cultivar
15,Dega
16,Djember
17,Ethiopia Landraces
126,Ethiopian Bourbon
19,F1 Hybrid
90,French Mission Bourbon
82,Geisha
20,Gemadro
21,Heirlooms
78,Icatu
93,Indigenous Landraces
22,Jackson
74,Jarc Selections
24,Java
120,K7
76,Kent
28,Kurume
127,Landraces
29,Lempira
104,Mandela
30,Maracaturra
119,Maragogipe
31,Marsellesa
101,Mayaguez
88,Mejorado
32,Mibirizi
33,Mikicho
72,Mixed
35,Mundo Novo
70,N39 (Bourbon AA)
36,Novo Hybrid
37,Obata
38,Orange Bourbon
40,Pacamara
39,Pacas
41,Pache
98,Pachesan Ramon
73,Parainema
43,Peaberry
83,Pink Bourbon
44,Pluma
45,Red Bourbon
46,Red Catuai
47,Red Caturra
48,Red Pacamara
49,Red Typica
97,Regional Landraces
50,Robusta
51,Ruiru 11
52,Ruiru 11 AA
122,San Bernardo
53,San Isidro
125,San Ramon
107,Sarchimor
54,Setami
128,SL
129,SL
92,SL14
55,SL28
57,SL28 Cultivar
56,SL34
58,Tabi
105,Tim Tim
59,Timor Hybrid
116,Topazio
114,Tupi
60,Typica
85,Typica Bergendal
118,Typica Colombia
121,Typica Guatemala
61,Typica Linie S
115,Typica Mejorado
124,Typica Peru
62,Typica Pluma
75,Various
63,Venecia
64,Villa Sarchi
65,Wolicho
66,Yellow Bourbon
77,Yellow Catuai
67,Yellow Caturra
102,Yellow Icatu
68,Yellow Pacamara
