id,varietal_3,varietal_2,varietal_1,species,notes,links
2,Arabica,,,,,
111,Arara,Yellow Catuai,,,yellow Catuai and the Obatã (Hybrid of Timor) varieties,
111,Arara,Obata,,,,
81,Arusha,SL,,,,
91,Ateng,,,,,
113,Batian,SL28,,,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
113,Batian,SL34,,,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
113,Batian,Rume Sudan,,,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
113,Batian,N39,,,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
113,Batian,K7,,,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
113,Batian,SL4,,,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
113,Batian,Timor Hybrid,,,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
4,Blue Mountain,Typica,,,,
1,Bourbon,Arabica,,,,https://varieties.worldcoffeeresearch.org/varieties/bourbon
96,Bourbon Gayo,Bourbon,,,,
84,Brasil Bourbon,Bourbon,,,,
5,Castillo,Robusta,,,,
95,Catimor,Caturra,,,,https://varieties.worldcoffeeresearch.org/varieties/t5175
95,Catimor,Timor Hybrid,,,,https://varieties.worldcoffeeresearch.org/varieties/t5175
87,Catimor 129,Catimor,,,,https://varieties.worldcoffeeresearch.org/varieties/catimor-129
109,Catuai,Mundo Novo,,,"Mundo Novo, Caturra",https://varieties.worldcoffeeresearch.org/varieties/catuai
109,Catuai,Caturra,,,"Mundo Novo, Caturra",https://varieties.worldcoffeeresearch.org/varieties/catuai
10,Caturra,Bourbon,,,,https://varieties.worldcoffeeresearch.org/varieties/caturra
11,Centroamericano,T5296,,,,https://varieties.worldcoffeeresearch.org/varieties/centroamericano
11,Centroamericano,Rume Sudan,,,,https://varieties.worldcoffeeresearch.org/varieties/centroamericano
12,Colombia,Caturra,,,,
12,Colombia,Timor Hybrid,,,,
13,Colombia F8,Colombia,,,,
89,Criollo,Typica,,,,
117,Crowned Garuda,Arabica,,,,
69,Cultivar,,,,,
15,Dega,Landraces,,,,
16,Djember,Kent,,,,
16,Djember,Arabica,,,,
17,Ethiopia Landraces,Landraces,,,,
126,Ethiopian Bourbon,Bourbon,,,,
19,F1 Hybrid,,,,,
90,French Mission Bourbon,Bourbon,,,,
82,Geisha,Heirlooms,,,,https://varieties.worldcoffeeresearch.org/varieties/geisha
20,Gemadro,Landraces,,,,
21,Heirlooms,Arabica,,,,
78,Icatu,Robusta,,,,
78,Icatu,Red Bourbon,,,,
78,Icatu,Mundo Novo,,,,
93,Indigenous Landraces,Landraces,,,,
22,Jackson,Bourbon,,,,https://varieties.worldcoffeeresearch.org/varieties/jackson-2-1257
74,Jarc Selections,Heirlooms,,,,
24,Java,Heirlooms,,,,https://varieties.worldcoffeeresearch.org/varieties/java
120,K7,French Mission,,,,https://varieties.worldcoffeeresearch.org/varieties/k7
76,Kent,Typica,,,,
28,Kurume,Landraces,,,,
127,Landraces,Heirlooms,,,,
29,Lempira,Timor Hybrid,Lineage,,"Timor Hybrid, Caturra",https://varieties.worldcoffeeresearch.org/varieties/lempira
29,Lempira,Catimor,Genetic,,,
29,Lempira,Caturra,Lineage,,,
104,Mandela,Caturra,,,,https://cafegranjalaesperanza.sensible.coffee/en/lots/mandela-caribe-2
104,Mandela,Timor Hybrid,,,,https://cafegranjalaesperanza.sensible.coffee/en/lots/mandela-caribe-2
104,Mandela,Villa Sarchi,,,,https://cafegranjalaesperanza.sensible.coffee/en/lots/mandela-caribe-2
104,Mandela,Rume Sudan,,,,https://cafegranjalaesperanza.sensible.coffee/en/lots/mandela-caribe-2
30,Maracaturra,Caturra,Bourbon,Arabica,,
119,Maragogipe,Typica,,,,https://varieties.worldcoffeeresearch.org/varieties/magarogipe
31,Marsellesa,Timor Hybrid,,,,https://varieties.worldcoffeeresearch.org/varieties/marsellesa
31,Marsellesa,Villa Sarchi,,,,https://varieties.worldcoffeeresearch.org/varieties/marsellesa
101,Mayaguez,Bourbon,,,,https://varieties.worldcoffeeresearch.org/varieties/bourbon-mayaguez-71
88,Mejorado,Bourbon,,,"Bourbon,Ethiopian Landraces",
88,Mejorado,Ethiopian Landraces,,,,
32,Mibirizi,Typica,,,,https://varieties.worldcoffeeresearch.org/varieties/mibirizi
33,Mikicho,Landraces,,,,
72,Mixed,,,,,
35,Mundo Novo,Typica,,,,https://varieties.worldcoffeeresearch.org/varieties/mundo-novo
35,Mundo Novo,Bourbon,,,,
70,N39 (Bourbon AA),Bourbon,,,,
36,Novo Hybrid,Mundo Novo,,,,
37,Obata,Sarchimor,,,"Sarchimor, Mundo Novo",https://varieties.worldcoffeeresearch.org/varieties/obata-rojo
37,Obata,Mundo Novo,,,"Sarchimor, Mundo Novo",https://varieties.worldcoffeeresearch.org/varieties/obata-rojo
38,Orange Bourbon,Bourbon,,,,
40,Pacamara,Maragogype,,,Hybrid of Maragogype and Pacas,https://varieties.worldcoffeeresearch.org/varieties/pacamara
40,Pacamara,Pacas,,,Hybrid of Maragogype and Pacas,https://varieties.worldcoffeeresearch.org/varieties/pacamara
39,Pacas,Bourbon,,,,
41,Pache,Typica,,,,https://varieties.worldcoffeeresearch.org/varieties/pache
98,Pachesan Ramon,Typica,,,,
73,Parainema,Sarchimor,,,,https://varieties.worldcoffeeresearch.org/varieties/parainema
43,Peaberry,Arabica,,,"Refers to a mutation which produces single beans rather than two; round, ""pea-like"" shape",
83,Pink Bourbon,Bourbon,,,,
44,Pluma,Typica,,,,
45,Red Bourbon,Bourbon,,,,
46,Red Catuai,Mundo Novo,,,,
46,Red Catuai,Caturra,,,,
47,Red Caturra,Caturra,,,,
48,Red Pacamara,Pacamara,,,,
49,Red Typica,Typica,,,,
97,Regional Landraces,Landraces,,,,
50,Robusta,,,,,
51,Ruiru 11,Catimor,,,"Catimor,K7, SL28, N39, Rume Sudan",https://varieties.worldcoffeeresearch.org/varieties/ruiru-11
51,Ruiru 11,K7,,,"Catimor,K7, SL28, N39, Rume Sudan",https://varieties.worldcoffeeresearch.org/varieties/ruiru-11
51,Ruiru 11,SL28,,,"Catimor,K7, SL28, N39, Rume Sudan",https://varieties.worldcoffeeresearch.org/varieties/ruiru-11
51,Ruiru 11,N39,,,"Catimor,K7, SL28, N39, Rume Sudan",https://varieties.worldcoffeeresearch.org/varieties/ruiru-11
51,Ruiru 11,Rume Sudan,,,"Catimor,K7, SL28, N39, Rume Sudan",https://varieties.worldcoffeeresearch.org/varieties/ruiru-11
52,Ruiru 11 AA,Ruiru 11,,,,
122,San Bernardo,Typica,,,,
53,San Isidro,Typica,,,,
125,San Ramon,Typica,,,,
107,Sarchimor,Villa Sarchi,,,mix of Timor and Villa Sarchi,https://varieties.worldcoffeeresearch.org/varieties/t5296
107,Sarchimor,Timor Hybrid,,,mix of Timor and Villa Sarchi,https://varieties.worldcoffeeresearch.org/varieties/t5296
54,Setami,Landraces,,,,
128,SL,Bourbon,,,,
129,SL,Typica,,,,
92,SL14,SL,,,,https://varieties.worldcoffeeresearch.org/varieties/sl14
55,SL28,SL,,,,https://varieties.worldcoffeeresearch.org/varieties/sl28
57,SL28 Cultivar,SL,,,,
56,SL34,SL,,,,https://varieties.worldcoffeeresearch.org/varieties/sl34
58,Tabi,Robusta,,,,
105,Tim Tim,Timor Hybrid,,,,
59,Timor Hybrid,Robusta,,,,
59,Timor Hybrid,Arabica,,,,
116,Topazio,Red Catuai,,,Red Catuai (hybrid of Mundo Novo and Caturra) and Mundo Novo (hybrid of Bourbon and Typica),
116,Topazio,Mundo Novo,,,,
114,Tupi,Timor Hybrid,,,,
114,Tupi,Villa Sarchi,,,,
60,Typica,Arabica,,,,https://varieties.worldcoffeeresearch.org/varieties/typica
85,Typica Bergendal,Typica,,,,
118,Typica Colombia,Typica,,,,
121,Typica Guatemala,Typica,,,,
61,Typica Linie S,Typica,,,,
115,Typica Mejorado,Typica,,,,
124,Typica Peru,Typica,,,,
62,Typica Pluma,Typica,,,,
75,Various,,,,,
63,Venecia,Bourbon,,,,https://varieties.worldcoffeeresearch.org/varieties/venecia
64,Villa Sarchi,Bourbon,,,,https://varieties.worldcoffeeresearch.org/varieties/villa-sarchi
65,Wolicho,Heirlooms,,,,
66,Yellow Bourbon,Bourbon,,,,
77,Yellow Catuai,Catuai,,,,
67,Yellow Caturra,Caturra,,,,
102,Yellow Icatu,Icatu,,,,
68,Yellow Pacamara,Pacamara,,,,
